NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
200004415977;2020;11;M;1;3;1;1;0;1;;0;;;;;;;;3515004;Embu das Artes;35;SP;1;1;1;1;600;570;579;589;526.8;545.2;572.7;533.9;DAECDDCECEEDCDABAAECBAEADBADBBEDDDECEBEECEADD;BDBEAEEDEDCDBECDEBADCAACECCCDBCCADCCBCBECBEAE;ADAAC99999DBBCAACDBADEAADBAEADEADCCDDEDDAADBBEBDCA;BDBEBBBCBCABCDCCEDACCECADDECACEAEDBDCDCABBDCA;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1;120;120;120;120;140;620;D;E;C;B;1;C;A;B;B;A;A;B;B;B;A;A;A;A;B;A;B;B;A;A;B
200006140756;2020;12;F;0;3;1;4;0;1;;0;;;;;;;;3106200;Belo Horizonte;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;E;C;B;2;A;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B
200006066398;2020;4;F;1;3;1;1;1;1;;0;;;;;;;;4314902;Porto Alegre;43;RS;1;1;1;1;597;569;580;587;469.9;497;541.7;461.1;DCEDADDDDCCAADDACDAEBDEDEBCECBACECBDBACBBDBBC;CEAACBDBDBEADBCEBBBAEDADDDACDEADADCABABCDEBDB;99999EBEDCCAAABEBEBBCEDBDAEEBECCBCDADACDDDAEEDCACA;DACEDEDEBCBEDCDABBBEEAAEDBCEEBBEDADDAACDEDBDC;1;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1;120;120;100;100;100;540;D;C;B;B;6;A;A;B;C;A;A;B;B;B;A;A;A;A;B;A;A;D;A;A;B
200005885744;2020;6;F;1;3;1;1;5;1;;0;;;;;;;;2933307;Vitória da Conquista;29;BA;1;1;1;1;599;568;578;590;641.3;684.5;626.6;724.2;CEDCEDCAEBCADECADBBDAEEBCAEDEEDDDEBDCEDBEACEB;BDECACCDEDDABBDCDDCAEADAACCEACDADAEAAADDDBECE;CDDAD99999DCBAEEDACADACBDEADEDDBCDBCDAACECADADECBD;CDDBADCCDDDABEEEBAECBAEAEAABACCDECEEBAADDDDCB;0;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1;160;200;200;200;200;960;E;C;B;B;4;B;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;B;B
200003852394;2020;11;F;1;3;1;1;9;1;;0;;;;;;;;3152105;Ponte Nova;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;F;B;2;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
200003367310;2020;3;F;1;1;1;1;1;1;;0;;;;;;;;2304400;Fortaleza;23;CE;1;1;1;1;599;568;578;590;379.8;434.8;512.9;455.2;ACBECEBCAAEDCDEABABECDADCBAEADCDCBEBAEABAAEDD;AEACADCAAEABCBECADCABAABCCCDDEBABCDCEBACBBBAE;ADAEA99999ABBEACDACACEAEBEADEBAAADBDDAAABCACE*EACA;BBEBEAAACBBACCEBBABEDAECBABECEBDEDEDBADBCEAAE;0;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1;80;120;80;120;200;600;B;E;C;C;3;B;A;B;B;A;A;B;B;A;A;A;A;A;B;B;A;C;A;A;B
200005891162;2020;6;M;1;3;1;1;4;1;;0;;;;;;;;5300108;Brasília;53;DF;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200006461621;2020;12;M;1;2;1;1;14;1;;0;;;;;;;;2307650;Maracanaú;23;CE;1;1;1;1;600;570;579;589;525.6;583.8;551.4;580.2;DAACDBBECBADCECBECECBCCDECCCCEBDAACEEDDAEEAED;BBDBDCECEDDDECBBACABDDDCDDCEADBCACAEBCEDABEDE;99999EEBCDDECCABABBADEDAABACADEBDDACBACDCAEEAEBDAA;BBAEBACADEEAEBACEDCAAECCBAAEACCEBEABBBACBBDBA;1;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1;120;120;100;100;60;500;C;D;C;B;2;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;B;C;A;A;B
200005416608;2020;6;F;2;3;1;1;3;1;;0;;;;;;;;5208707;Goiânia;52;GO;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200006222076;2020;13;M;1;3;1;1;14;1;;0;;;;;;;;2105302;Imperatriz;21;MA;1;1;1;1;597;569;580;587;471.5;592.9;462.9;525.2;DBDDADCCBDBBCDDDCDADBCCCBBDECCECCDDAECDDCAAEC;DEEAACEEBADBCECDBCBDBDEEEAEDCBDDADDDCEECACDBC;CADDA99999DECEEEBCDAADDCCACCCABBACCBADADDDBBBDCCDE;DACDDDDDCECECBBAECABEEBBBDCCCDBBCCCBCCDABDCBD;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1;120;200;160;160;200;840;C;D;C;B;2;C;A;B;C;A;A;B;B;A;A;A;A;A;B;B;A;C;A;A;B
200004951701;2020;11;M;2;3;1;1;9;1;;0;;;;;;;;2301901;Barbalha;23;CE;1;1;1;1;600;570;579;589;515.4;390.3;504.7;397.3;DACBACBBCDCBABDBCACBBCBCDBCACDBCBACBDCCABACDC;AADDCCACBDCBCCAACABBACACBCBBACDCCABBCBAAECDCB;99999ABCBADACCADBCBADEAABBACACDADCADBCBACBDBCDBCCB;BCDABCBCBADCACACDBBDCBBACBBACDACBBDBABCCBCDBC;1;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1;140;40;40;120;40;380;B;A;D;A;2;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;B;D;A;A;B
200005734351;2020;6;F;1;3;1;1;0;1;;0;;;;;;;;1302603;Manaus;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200006103866;2020;11;F;1;1;1;1;11;1;;0;;;;;;;;5002704;Campo Grande;50;MS;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200002310176;2020;3;M;1;1;1;2;0;2;1;0;;;;;;;;2304400;Fortaleza;23;CE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;H;C;F;2;A;A;B;B;A;A;B;A;A;A;A;A;A;B;B;A;B;A;A;B
200001769014;2020;5;M;1;1;1;1;3;1;;0;;;;;;;;2927408;Salvador;29;BA;1;1;1;1;597;569;580;587;573.3;603.5;513.4;636.6;CDCECADCBEEBCDDBCCADCEDADDDCEABCEDBABBADEDCBE;ACDEADCACEEACECDBCDDCDADBDDBAEADABABECECECAED;CCEAA99999BBAEBEDEDBCADCCBEAAADBADDCADBBEDABACEDCC;CEDCAAECACBACCBBACDBDCEEDCABEBABBCDDBCCEDBEBC;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1;180;40;40;160;40;460;B;B;A;A;3;A;A;B;C;A;A;B;A;A;A;B;A;A;B;B;A;D;A;B;B
200006491301;2020;5;F;0;1;1;1;3;1;;0;;;;;;;;4304705;Carazinho;43;RS;1;1;1;1;598;567;577;588;569.7;502.1;566.1;504.5;EAAEDDACACCBABDEADBBDADBABACDACBDDDDBCCACCDCB;ACBABDCDEABBAAEABBEDEACCDCAEBAEDCDDAADCABBCAB;99999ACEBECACACECEABEDEACBADACCDECBEBEEADAACDCBDBC;CBDBCCAAEDBDCACDBBDDEDBBDBEEDDEDCACEBDBCDAECB;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;120;160;160;120;140;700;E;F;C;B;4;B;A;C;C;B;A;B;B;B;A;B;A;B;C;A;A;C;A;B;B
200004553184;2020;4;M;1;2;1;1;1;1;;0;;;;;;;;2707701;Rio Largo;27;AL;1;1;1;1;598;567;577;588;482;514.2;576.8;672.1;CADEABADCACCEBDCADDBABBCECECECCBECDDEDCAECCBA;ACEDBEDDDBDABABBBCEDEACADCEACDDDADAAAEDABEDDD;99999DACDECBBBCBAEEBDDBBDAADDBDDDACEBBCADCACCADDBC;AEDBBCCECACBBAECBDBCDCEBDBCCDBBDCEDEBEADCDECA;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;160;200;180;200;200;940;H;A;C;F;4;C;A;B;C;A;A;B;B;B;A;B;A;A;C;B;A;E;A;C;B
200001141912;2020;2;M;3;3;1;2;0;2;1;0;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;597;569;580;587;439.6;395.6;505.7;339.2;DDDCAAEBBCACACCCCAABBACDBEADACDCAABCACCCDAAEA;ADABADCCAECACEBACEADBBDDCDBBBCEDAAAAEAAACDBAE;ACCEA99999BACABDAEBBCADBEEEEECEEADEEAAEABDCECCBCCA;CECDACBDADBACBDAEDDBECAEACDDDCCCCCACABEDADBAD;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1;60;40;40;100;40;280;D;E;C;B;4;C;A;B;C;B;A;B;B;B;A;B;A;A;C;A;A;D;A;A;B
200003775995;2020;5;F;1;2;1;1;3;1;;0;;;;;;;;3534401;Osasco;35;SP;1;1;1;1;599;568;578;590;599.7;659.9;597.2;548.8;CEDBCDCAEBCCDECAEDECBEAEBEECADDDCEBDCECAABCEB;EDACBCCDEDDAABBCDCBABCDCACCEACDADEEBAAAEDEECB;BECAD99999AEBBECDAAADAABCEADEADADDBACAACECADAAEBBE;BECDABDACABADDBEBBEDABEDBBAEACDEACAEBADCBECAC;0;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1;140;160;160;160;160;780;D;F;C;D;2;C;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;A;B
200002437786;2020;3;F;1;3;1;2;0;2;1;0;;;;;;;;3154606;Ribeirão das Neves;31;MG;1;1;1;1;598;567;577;588;482.8;384.4;514.6;536.4;EAEECBAABCABDCDBADEADBABCBACDACADDEAEBDCCEEBC;ACCEAEAECEBDABEAACBABECAEEBEBABDCDCBBECEBEAED;CAECB99999AEEBECDEABDDBCDAAEEADDBADEADBEDABEADACBA;DABDACBCABCCEACCCAECBCDADACCBBEEABDDCBBEABEEC;0;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;160;200;180;200;200;940;E;E;C;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B
200006269653;2020;3;F;1;2;1;1;1;1;;0;;;;;;;;2111300;São Luís;21;MA;1;1;1;1;597;569;580;587;510.4;481.2;543.5;480.8;DCBEECDCCECABECECBABCDCDEEDCCDDCABABCDDABEADD;DDDAEC.ADEEAAEEEDCBDDBBABEDACBAAADDEECECBDACB;ACDAA99999ABCABABDCCCADBACCADDDEAACAADADDBADADCDBE;BCACCEBBCEDEACDBECAAEBACEDBDACEBBABDABCEABDCE;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1;80;40;40;120;40;320;A;E;C;D;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
200003350911;2020;3;F;1;3;1;2;0;2;1;0;2207009;Oeiras;22;PI;1;1;1;2207009;Oeiras;22;PI;1;1;1;1;598;567;577;588;516.8;565.7;567.7;384.2;DAEEADCEECBDABEDDDADDBEBCCECCBDCDCEDAADCBBDDC;EBCABBDDADDACCECACBBEAAEECCCACEDDACCBBAEBEBED;DAECC99999AADBDBCEDBADECDDADEBADEBACBAEADEEAEAADEC;DBADABDECBDDAADBCDBDDCDCDDDBBCDEBEDBDDCCCDCCE;0;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;140;180;160;200;200;880;A;C;A;A;3;B;A;B;C;A;B;B;A;A;A;A;A;A;A;A;A;C;A;A;A
200005318733;2020;11;M;1;3;1;1;0;1;;0;;;;;;;;4106902;Curitiba;41;PR;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;D;C;C;B;2;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
200001104094;2020;6;F;1;2;1;1;4;1;;0;;;;;;;;3304557;Rio de Janeiro;33;RJ;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;E;B;B;6;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B
200004209051;2020;7;M;1;1;1;1;2;1;;0;;;;;;;;2907202;Casa Nova;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;E;A;D;5;D;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;D;A;B;B
200003047925;2020;2;M;1;3;1;3;0;1;;1;;;;;;;;2408102;Natal;24;RN;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;F;F;4;B;A;B;C;A;A;B;A;B;B;B;A;A;B;A;A;E;A;A;B
200005933846;2020;12;M;2;1;1;1;14;1;;0;;;;;;;;2615300;Timbaúba;26;PE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;A;A;A;3;C;A;C;D;A;A;B;A;B;A;A;A;B;B;B;A;C;A;A;B
200006093562;2020;11;M;1;3;1;1;0;1;;0;;;;;;;;2312908;Sobral;23;CE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;B;B;4;B;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;B;A;A;B
200003151159;2020;9;F;1;3;2;1;8;1;;0;;;;;;;;2108603;Pinheiro;21;MA;1;1;1;1;597;569;580;587;456.4;500.2;508.3;387.9;DDACEADBBDDDCCCDDDADEBCBEDCBCBEACDDBEBDDADAEA;BDDAEEAEBEDCEEABDEDDDDEDADADEADAADAAEABCDECBA;99999CAEDADCDBBEACBBAADBAEEAAAECBCACDAABBDCACBCAAA;CACAEAEEEDDCBCCDADEAEEEEADDABBDEEDAEDABEBDEDE;1;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1;120;40;40;80;40;320;C;E;A;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
200002689274;2020;4;F;1;3;1;2;0;2;1;0;;;;;;;;2802908;Itabaiana;28;SE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;C;F;B;5;B;A;B;D;A;A;B;A;B;A;A;A;A;B;B;A;E;A;A;B
200006762669;2020;8;M;1;3;1;1;5;1;;0;;;;;;;;2304400;Fortaleza;23;CE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200002695674;2020;4;M;1;2;1;1;1;1;;0;;;;;;;;2300200;Acaraú;23;CE;1;1;1;1;600;570;579;589;500.2;599.8;592.5;636.7;DCBBDBBECEDDDCDAECEBCCDDAAAAAECDDDAADECADBAED;BDDAECBCEBCDACAEBDADDAECDDEBAABCAEDCACEABAAAE;AABCD99999DBACACADAADCBDDBEAADEBAACDCEADBCAECEBEAA;DACDDEBDCCBDEBAECCBCCEACBEADDCBDEACDECCCAAAAA;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1;160;160;160;180;180;840;H;C;B;B;4;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
200006674382;2020;3;F;1;1;1;1;1;1;;0;;;;;;;;3527207;Lorena;35;SP;1;1;1;1;597;569;580;587;644.4;687.5;691.1;757.8;DADACADEEBCDBEECCDADCEDBEDDDCAACDDEACCBEEDCDD;AECADEEBDECBBECDDCBACDADEEDCAEDDAEDAECECDCCBD;DCDAA99999AEBBBEBEBADADBDDEBAEDAAADCDDEADEBDBCCAAA;DADCEBEBBCBCCDECCBABDDBCCBEDEABBACCDAEBAEBAEE;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1;180;200;180;200;200;960;E;F;B;D;3;E;A;C;C;B;A;B;B;B;B;B;A;A;C;A;A;D;B;D;B
200006010029;2020;12;F;1;3;1;1;0;1;;0;;;;;;;;2702900;Girau do Ponciano;27;AL;1;1;1;1;598;567;577;588;359.3;416.7;478;339.8;EACCECEBCEDDBBECAADDEAECCEEDBCDCBCCAABEDCEDAB;ADCABEDBCABDECBEAEEDADBCAECCBCADDDEBC*CEBABBB;99999CCAEEABCEAADEDBDBCCBAACED.EEBBCEECAEEBCEACABC;CDABCCDCCBAAEEBDADBABCECBB*BCCEEACBBDCCDEACDC;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;120;120;120;120;160;640;A;A;A;A;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
200004149124;2020;5;M;1;3;1;1;3;1;;0;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;598;567;577;588;447.4;599.6;528.2;627.8;AEBDBBCEAEBDECDDCCADDBDAABACECCCEACCCDABDEDAE;ADADBADAACDEBEEBCAEDDACEDCACECEDCDCABAEBBECDB;99999AEACDABDBEBBEDBECBDADADABDDCBCDBBEADCBCDBDDBD;EDCBCDDEDBCABCCCCDBCDACBADCEADADCCEEBAAAECBCA;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;140;200;140;200;180;860;B;C;A;B;4;B;A;B;D;B;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B
200004330758;2020;8;F;1;3;1;1;0;1;;0;;;;;;;;2504009;Campina Grande;25;PB;1;1;1;1;700;688;692;696;357.4;334.8;516.5;501.6;BBCCBCBBCCBBCDCCBABCCEDDBBCCCBABBCEAEDDBDACBA;CCEAEDBECCBBCDEDECADEAECDADCAEEDEDCBACDECEBBC;99999EDEDDADEBBEBAEADBDCCBCBDCBDACBDBBCCDECBAEADAA;DCDDDCBCCDBDEBACCABCADDDBCBABCBBCCCBBDBCCACBD;1;BDECCACBEBDEAEDAECCBAEABCCEADDBBCADCBDDEBDBAC;DABCCAECBABECADBDCCABDBCDDAABDBAEBEBBDBDDBDBE;99999BDCEDAEEABCBABBBBDCEEEADCCBECEACBADBCDDBCAEAA;EBDBXCCDAEECBAABABAEDDEDAECBCDCADEEBBABBACBCA;1;100;120;120;120;40;500;;;;;;;;;;;;;;;;;;;;;;;;;
200001788901;2020;9;M;1;3;1;1;6;1;;0;;;;;;;;2307304;Juazeiro do Norte;23;CE;1;1;1;1;599;568;578;590;437.2;436.3;550.8;423.9;ECCBACCEBACDBDDACBCEBEDDEDBCDDEDDCBAAEACACEBD;EBACEACDBBEAADECEDABEDDDEABDADBADCBDDBCAAAAAA;99999BCECCBDBEEADBCACADCEEAEEBDBBDBBDCEBECDEBDDBBB;CBBDBDBECBBACCDADADECBEEADCDAAAAAADADCBADDCBC;1;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1;140;40;40;120;40;380;E;E;D;D;5;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;B;A
200004884707;2020;3;M;1;3;1;2;0;2;1;0;;;;;;;;2604106;Caruaru;26;PE;1;1;1;1;600;570;579;589;425.4;568;585.5;615.1;ABBABCBDECCEBAEBBAEAECBDAECDDAABDEAEADBCEADAE;BADAEEECADEAAEEACDEDDADEDBEAADCCDDBAACAECCCAE;AABAD99999DBACDCBDAADEBAEBACCDEBDDADCABDADDBEABEAE;BDBCBBBDAEBEABDCACBCDBCCBBDCDDBBEACBEEBCCDBBA;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1;180;180;140;180;200;880;D;C;A;A;4;B;A;B;B;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A
200001525954;2020;4;M;1;2;1;1;1;1;;0;;;;;;;;2927408;Salvador;29;BA;1;1;1;1;598;567;577;588;502.2;548.8;541.8;616.1;EACDDAACACDEDADEDCDEDAAECCBCCDDEDCECEACDEAABC;ACACBDEAABDEDCBABCBCEADCCCEACAADEDDAACDBDECAB;AACCD99999EADDBEAEEBBDDEDAADCADDECBECBAADBCECDBDBC;CEABEACECEBBCABCDDBCDDBBABCEAAACDABEDCBCCAEDE;0;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1;120;80;120;120;80;520;H;H;C;F;2;B;A;B;C;A;A;B;A;A;A;A;A;A;B;B;A;A;A;A;B
200001597748;2020;3;F;1;3;1;1;2;1;;0;;;;;;;;2800308;Aracaju;28;SE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
